Date,Hour,Minute,Second,Milisecond,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
2021-09-24,15,16,19,214,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,19,326,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,20,968,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,13,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,25,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,48,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,56,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,64,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,72,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,79,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,88,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,95,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,119,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,128,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,141,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,157,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,174,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,190,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,205,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,220,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,236,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,252,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,271,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,281,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,291,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,300,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,309,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,319,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,335,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,352,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,364,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,372,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,380,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,389,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,397,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,405,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,413,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,421,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,430,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,439,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,451,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,460,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,468,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,477,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,487,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,499,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,508,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,518,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,527,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,536,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,543,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,563,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,573,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,581,-0.578,5.2,0.674,0,0,0,1
